url_count,email_count,num_count,word_count,char_count,url_density,num_density,avg_word_length,exclamation_count,question_count,punct_count,urgency_count,financial_count,action_count,threat_count,caps_ratio,urgency_density,unique_word_ratio,sentence_count,avg_sentence_length,placeholder_ratio,digit_char_ratio,label
0.0,0.0,0.000543773790103317,0.0034704370179948585,0.0029611213151848254,0.0,0.016736694677871148,0.05924935950261041,0.004830917874396135,0.0003136762860727729,0.0004740153408601224,0.0,0.0,0.034782608695652174,0.0,0.0,0.0,0.7955451181326502,0.003205128205128205,0.0088268156424581,0.016736694677871148,0.004019407558733402,1
0.0012763241863433313,0.09523809523809523,0.001087547580206634,0.00728363324764353,0.007933570316155571,0.06936416184971098,0.016252975178510713,0.08424109189750528,0.0,0.0,0.00353356890459364,0.016853932584269662,0.0,0.043478260869565216,0.0,0.09375,0.06936416184971098,0.6437855101365859,0.014423076923076922,0.004528079976477506,0.06501190071404285,0.06676203228569766,1
0.0,0.0,0.004893964110929853,0.004884318766066838,0.004225184895487782,0.0,0.10814479638009052,0.06019866959345349,0.0,0.0,0.0012065845040075843,0.0056179775280898875,0.00303951367781155,0.017391304347826087,0.0,0.0,0.03418803418803419,0.6546161874940696,0.004807692307692308,0.008778930566640064,0.10814479638009052,0.07027308579507405,0
0.0012763241863433313,0.09523809523809523,0.002718868950516585,0.012382176520994001,0.01034297327308662,0.0410958904109589,0.024073327961321514,0.05648486688950281,0.0,0.0,0.0043523226751702145,0.0,0.0,0.0,0.0,0.03346938775510204,0.0,0.5744504755331469,0.011217948717948716,0.010316573556797019,0.05296132151490733,0.02951078732037873,0
0.0,0.0,0.001087547580206634,0.004841473864610112,0.004546438623078589,0.0,0.024239350912778908,0.06815645017557362,0.004830917874396135,0.0,0.0009480306817202448,0.0,0.00303951367781155,0.0,0.0,0.0,0.0,0.7300200241467651,0.005608974358974359,0.007541899441340782,0.024239350912778908,0.007990388520373629,1
0.0,0.0,0.016856987493202826,0.1336332476435304,0.06895082722834854,0.0,0.013959754305309569,0.020986372835040606,1.0,0.0003136762860727729,0.09118331466000174,0.06741573033707865,0.030395136778115502,0.026086956521739132,0.0,0.0,0.015374759769378604,0.12404215476404742,0.046474358974358976,0.02900293532809393,0.013959754305309569,0.011905711495881068,1
0.0,0.0,0.003806416530723219,0.004927163667523564,0.003910914944583732,0.0,0.0833998005982054,0.05252811013110488,0.0,0.0,0.0009049383780056883,0.016853932584269662,0.0121580547112462,0.0,0.044444444444444446,0.0,0.1016949152542373,0.674666010508185,0.003205128205128205,0.012625698324022347,0.0833998005982054,0.05043962426645837,0
0.0,0.0,0.0,0.0015424164524421593,0.0011802582600618763,0.0,0.0,0.05159451801864452,0.004830917874396135,0.0,0.00030164612600189607,0.0,0.0,0.0,0.0,0.0,0.0,0.7927697124964417,0.003205128205128205,0.0037988826815642455,0.0,0.0,1
0.0,0.0,0.06797172376291462,0.09687232219365895,0.07395121133606632,0.0,0.0776215963417169,0.048261685138794794,0.0,0.0009410288582183187,0.035421873653365514,0.0,0.00303951367781155,0.0,0.0,0.0,0.0,0.2092937992051733,0.2644230769230769,0.0032625023207142733,0.0776215963417169,0.08961679378017673,0
0.0,0.0,0.06797172376291462,0.051028277634961434,0.041420779529153774,0.0,0.14718198837323876,0.05362819849675353,0.004830917874396135,0.0,0.01779712143411187,0.02247191011235955,0.0,0.017391304347826087,0.0,0.0,0.01340033500837521,0.2960418374250987,0.0985576923076923,0.0048206884123265445,0.14718198837323876,0.09496144173849674,0
